id,person_weight,sex_of_respondent,sex_of_partner,personal_income_group,household_income_group,number_young_children_in_home,number_children_in_home,age_group_children,duration_sleeping_resting_relaxing_sick_in_bed,duration_personal_care,duration_health_professional_visit_consultation,duration_self_administered_medical_care,duration_meal_lunch_or_snack_preparation,duration_eating_or_drinking,duration_transport_to_and_from_activity,duration_paid_work,duration_looking_for_paid_work,duration_other_income_generating_activities,duration_paid_training,duration_break_or_lunch,duration_schooling_on_site,duration_schooling_online,duration_homework_or_studying,duration_self_development_or_leisure_courses,duration_preserving_foods,duration_indoor_house_cleaning,duration_garbage_recycling_unpacking_goods,duration_laudry_ironing_sewing_shoe_care,duration_repair_painting_removation,duration_organizing_planning_paying_bills,duration_packing_unpacking_groceries_luggage_boxes,duration_outdoor_maintenance,duration_planting_maintaining_garden_or_house_plants,duration_pet_care,duration_personal_care_of_child_14_under,duration_accompanying_care_of_child_14_under,duration_personal_care_of_child_15_plus,duration_accompanying_care_of_child_15_plus,duration_care_of_household_adult_personal_care,duration_care_of_household_adult_accompanying,duration_care_of_child_other_household_personal_care_accompanying,duration_care_of_adult_other_household_personal_care,duration_care_of_adult_other_household_accompanying,duration_helping_relatives_friends_neighbours_acquaintances,duration_shopping_or_buying_goods,duration_shopping_for_services,duration_researching_for_goods_and_services,duration_selling_goods_or_services,duration_socializing_or_communicating_in_person,duration_socializing_or_communicating_using_technology,duration_organizational_activities,duration_volunteer_work,duration_religious_activities,duration_civic_participation,duration_exercising,duration_organized_recreational_sports,duration_competitive_sports_indoor_or_outdoor,duration_outdoor_sports_non_competitive,duration_outdoor_activities,duration_coaching_or_administering_sports,duration_attending_cinema_exhibitions_library_concerts_theatre,duration_attending_sporting_events,duration_visiting_museums_art_galleries_heritage_sites_zoos,duration_arts_and_hobbies,duration_leisure_activities,duration_reading_online_or_paper_version,duration_writing,duration_watching_television_or_videos,duration_listening_to_music_or_radio,duration_use_of_technology,duration_other_activity,duration_uncodable_unknown_activity,duration_social_contact_alone,duration_social_contact_spouse_partner,duration_social_contact_household_children_15,duration_social_contact_household_children_15_2,duration_social_contact_parents_or_parents_in_law,duration_social_contact_other_household_adults,duration_social_contact_family_members_from_other_households,duration_social_contact_friend_s,duration_social_contact_colleague_s_classmate_s,duration_social_contact_other_people,duration_social_contact_not_stated,duration_at_home_or_on_property,duration_at_place_of_work_or_school,duration_away_on_business,duration_at_someone_elses_home_or_property,duration_in_the_neighbourhood,duration_outside,duration_at_the_grocery_store_other_stores_or_mall,duration_at_a_library_museum_or_theater,duration_at_a_sports_centre_field_or_arena,duration_at_a_restaurant_bar_or_club,duration_at_a_place_of_worship,duration_at_a_medical_dental_or_other_clinic,duration_elsewhere,duration_travel_car_driver,duration_travel_car_passenger,duration_travel_walking,duration_travel_bus_include_street_car_and_metro,duration_travel_airplane,duration_travel_bicycle,duration_travel_taxi_limousine_service,duration_travel_boat_ferry,duration_travel_other,total_duration_in_minutes_location_not_stated,sleep_duration_in_minutes_the_first_night,diff_income
10034,2393.0949,Female,Male,"$40,000 to $59,999","$100,000 to $119,999",Two,Two,NA,390,50,0,0,105,30,125,525,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,185,545,155,0,0,0,0,0,555,0,0,670,555,0,0,0,0,0,0,90,0,0,0,0,125,0,0,0,0,0,0,0,0,0,390,"$40,000 to $59,999"
10035,4937.9511,Female,Male,"$20,000 to $39,999","$80,000 to $99,999",None,Two,All children 13 years of age and older,420,40,0,0,70,20,90,455,0,0,0,55,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,150,780,0,660,0,0,0,0,510,0,0,620,300,0,220,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,210,NA,"$40,000 to $59,999"
10036,2251.7325,Male,Female,"$20,000 to $39,999","$40,000 to $59,999",Three or more,Four or more,All children between 5 and 12 years of age,435,60,0,0,0,45,30,720,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,645,135,0,0,0,0,0,720,0,0,675,735,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,NA,"Less than $20,000"
10039,1508.7606,Male,Female,"$60,000 to $79,999","$100,000 to $119,999",One,One,All children under 5 years of age,530,15,0,0,0,20,85,0,0,120,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,20,240,0,0,0,0,0,0,0,0,0,15,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,15,20,0,415,285,965,0,120,0,160,0,60,0,0,1245,60,0,0,0,0,0,15,0,35,0,0,0,65,0,20,0,0,0,0,0,0,0,NA,"$20,000 to $39,999"
10041,1353.8178,Female,Male,"$60,000 to $79,999","$120,000 to $139,999",One,One,All children between 5 and 12 years of age,540,40,0,0,0,75,215,0,180,0,0,0,0,0,0,0,0,140,0,0,0,0,15,0,0,0,40,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,390,980,270,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,150,0,0,0,0,0,0,0,0,15,200,0,0,0,0,0,0,510,"$40,000 to $59,999"
10044,3484.1418,Female,Male,"$60,000 to $79,999","$140,000 or more",Three or more,Three,At least one child under 5 years of age but not all children,540,40,0,0,165,60,20,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,10,120,0,0,165,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,60,0,75,0,0,0,0,285,700,590,0,0,0,0,0,0,0,0,1365,0,0,0,0,0,55,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,NA,Ambiguous
10045,3128.597,Male,Female,"$40,000 to $59,999","$80,000 to $99,999",Two,Two,All children between 5 and 12 years of age,420,20,0,0,110,0,30,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,640,575,350,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,420,"$20,000 to $39,999"
10051,4168.5353,Female,Male,"$40,000 to $59,999","$140,000 or more",None,One,No child under 19 years of age at home,760,25,0,0,15,25,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,120,0,60,0,10,290,820,0,60,0,0,0,0,330,0,0,1095,330,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,Ambiguous
10053,762.7176,Female,Male,"$20,000 to $39,999","$140,000 or more",None,Two,All children 13 years of age and older,600,60,0,0,105,35,0,0,0,0,0,0,0,0,0,0,0,120,0,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,260,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,310,630,0,265,0,0,60,0,260,150,0,1180,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,Ambiguous
10055,3831.0042,Female,Male,"Less than $20,000","$60,000 to $79,999",Two,Two,NA,315,90,0,0,30,130,200,0,0,0,0,0,0,0,0,0,0,15,0,45,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,195,1215,405,0,0,0,0,720,0,0,0,630,0,0,0,0,50,0,0,0,560,0,0,0,0,195,5,0,0,0,0,0,0,0,270,"$40,000 to $59,999"
10056,3433.4602,Female,Male,"$40,000 to $59,999","$80,000 to $99,999",One,One,All children under 5 years of age,415,0,0,0,0,40,10,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,500,760,475,0,0,0,0,205,0,0,0,1090,340,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,NA,"$20,000 to $39,999"
10060,2340.6098,Female,Male,"$120,000 or more","$140,000 or more",None,Two,No child under 19 years of age at home,270,135,0,0,0,90,75,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,60,0,0,0,0,0,140,0,0,0,10,0,0,0,0,150,0,0,210,690,0,0,0,0,0,240,480,60,0,510,600,0,0,0,10,15,140,0,90,0,0,0,0,45,0,0,0,0,0,0,0,30,NA,Ambiguous
10065,500.3623,Female,Male,"Less than $20,000","$20,000 to $39,999",One,One,All children under 5 years of age,420,15,0,0,60,210,45,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,765,740,0,0,0,30,0,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,NA,"Less than $20,000"
10069,1608.2738,Female,Male,"$80,000 to $99,999","$140,000 or more",One,One,All children under 5 years of age,480,45,0,0,60,60,95,370,0,0,0,50,0,0,0,0,0,30,0,30,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,60,0,0,0,0,250,730,340,0,0,0,0,0,400,0,0,895,420,0,0,0,0,30,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,480,Ambiguous
10085,699.1999,Male,Female,"Less than $20,000","$60,000 to $79,999",One,One,All children under 5 years of age,810,0,0,0,0,130,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,155,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,1340,720,0,0,0,0,0,0,0,0,1115,0,0,10,0,0,120,0,0,130,0,0,0,65,0,0,0,0,0,0,0,0,0,570,"$40,000 to $59,999"
10086,1155.9379,Female,Male,"$80,000 to $99,999","$140,000 or more",Two,Two,NA,530,60,0,0,75,70,50,0,0,0,0,0,0,0,0,0,0,105,0,180,0,0,40,0,0,60,45,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,955,0,485,0,0,0,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,150,Ambiguous
10093,2595.0806,Male,Female,"$20,000 to $39,999","$60,000 to $79,999",One,One,All children under 5 years of age,270,30,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,960,360,120,0,0,0,0,0,0,0,0,540,540,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"$20,000 to $39,999"
10101,1450.5603,Female,Male,"$80,000 to $99,999","$140,000 or more",Two,Three,NA,570,120,0,0,200,0,140,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,45,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,1020,970,0,0,0,0,0,165,0,1120,15,0,0,0,0,120,0,0,0,0,0,45,140,0,0,0,0,0,0,0,0,0,510,Ambiguous
10105,2056.237,Male,Female,"$120,000 or more","$140,000 or more",Two,Two,All children between 5 and 12 years of age,390,90,0,0,0,60,10,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,450,840,0,0,0,0,0,0,45,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,NA,Ambiguous
10109,3403.4277,Female,Male,"$40,000 to $59,999","$120,000 to $139,999",None,One,No child under 19 years of age at home,500,65,0,0,75,20,105,320,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,260,740,0,15,0,0,60,0,320,105,0,955,320,0,0,0,0,0,0,0,0,0,0,60,105,0,0,0,0,0,0,0,0,0,450,"$60,000 to $79,999"
10112,2308.3992,Female,Male,"$60,000 to $79,999","$140,000 or more",One,One,All children under 5 years of age,450,60,0,0,90,90,60,450,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,480,0,420,0,0,0,0,0,0,510,30,870,510,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,540,Ambiguous
10114,4905.3147,Male,Female,"$40,000 to $59,999","$100,000 to $119,999",Two,Two,All children under 5 years of age,405,30,0,0,0,30,120,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,150,615,135,0,0,0,0,0,660,0,0,660,660,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,420,"$40,000 to $59,999"
10119,4856.251,Female,Male,"$120,000 or more","$140,000 or more",None,One,All children 13 years of age and older,700,30,0,0,20,20,0,420,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,720,720,0,20,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,Ambiguous
10127,4641.578,Female,Male,"$40,000 to $59,999","$140,000 or more",None,Two,No child under 19 years of age at home,510,40,0,0,0,120,105,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1440,0,0,420,0,0,0,0,0,0,810,0,0,420,0,0,105,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,600,Ambiguous
10134,3603.68,Female,Male,"$100,000 to $119,999","$140,000 or more",Two,Three,NA,395,30,0,0,0,50,200,75,0,0,410,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,35,0,0,320,505,0,0,80,0,0,0,450,175,0,545,535,0,0,0,0,60,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,360,Ambiguous
10139,4043.2823,Female,Male,"Less than $20,000","$60,000 to $79,999",One,Two,All children 13 years of age and older,800,180,0,0,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,200,1240,440,440,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,480,"$40,000 to $59,999"
10148,1315.5643,Female,Male,"$100,000 to $119,999","$140,000 or more",One,One,All children between 5 and 12 years of age,535,0,0,0,150,60,20,0,120,0,0,0,0,0,0,0,0,160,0,0,0,60,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,185,485,1255,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,600,Ambiguous
10151,1078.5677,Female,Male,"Less than $20,000","$60,000 to $79,999",Three or more,Three,All children between 5 and 12 years of age,590,30,0,0,165,0,40,0,0,0,0,20,265,0,110,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,130,805,975,0,0,0,0,100,285,20,0,925,395,0,0,0,0,0,0,0,0,80,0,0,0,20,20,0,0,0,0,0,0,0,615,"$40,000 to $59,999"
10166,326.4761,Female,Male,"$80,000 to $99,999","$140,000 or more",Two,Two,All children between 5 and 12 years of age,360,60,0,0,60,30,120,480,0,0,0,0,0,0,0,0,0,30,0,0,0,90,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,510,150,270,0,0,0,0,0,510,510,0,810,510,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,360,Ambiguous
10168,2977.2036,Female,Male,"$80,000 to $99,999","$140,000 or more",Two,Two,At least one child under 5 years of age but not all children,520,85,0,0,0,45,135,425,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,40,800,300,0,75,0,0,0,270,450,0,710,470,0,75,0,0,0,0,50,0,0,0,0,95,40,0,0,0,0,0,0,0,0,550,Ambiguous
10178,4173.5329,Female,Male,"$20,000 to $39,999","$80,000 to $99,999",Two,Two,All children under 5 years of age,540,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,225,0,120,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,780,1080,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"$40,000 to $59,999"
10181,1732.8287,Male,Female,"$80,000 to $99,999","$140,000 or more",One,One,All children between 5 and 12 years of age,695,30,0,0,150,55,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,60,0,0,150,575,835,0,0,0,0,0,0,0,0,1085,0,0,120,0,0,0,0,0,25,0,0,0,210,0,0,0,0,0,0,0,0,0,480,Ambiguous
